Index,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power_Windows,Power,Torque,Speedometer,Type,Wheelbase,Wheels_Size,Basic_Warranty,Ventilation_System,Column1,_1,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Airbags,Number_of_Airbags,Compression_Ratio,Parking_Assistance,Average_Speed,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
673,Mahindra,Xuv500,W11 (O),"Rs. 17,41,319",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Manual,2700 mm,P235/60 R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",6,16.5:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Mahindra,Xuv500,W11 (O) At,"Rs. 18,62,586",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Automatic,2700 mm,P235/60 R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,16.5:1,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Mahindra,Xuv500,G At,"Rs. 16,10,180",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Petrol,1785 mm,4585 mm,1890 mm,SUV,5,,,13.85 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,140PS@4500rpm,320Nm@2000 - 3000rpm,Analog,Automatic,2700 mm,235/65R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Mahindra,Xuv500,W7,"Rs. 14,18,313",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,15.1 km/litre,15.1 km/litre,,1785 kg,6,200 mm,Solid Disc,Solid Disc,Hydraulic Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,,Manual,2700 mm,17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,,2450 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Mahindra,Xuv500,W7 At,"Rs. 15,39,488",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Automatic,2700 mm,P235/65R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag",6,16.5:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Mahindra,Xuv500,W9,"Rs. 15,88,943",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Manual,2700 mm,P235/65R15,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Mahindra,Xuv500,W9 At,"Rs. 17,10,118",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Automatic,2700 mm,P235/65R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Driver frontal airbag, Drive side airbag",2,16.5:1,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Mahindra,Xuv500,W11,"Rs. 17,16,319",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Manual,2700 mm,P235/65R15,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",6,16.5:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Mahindra,Xuv500,W11 At,"Rs. 18,37,586",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Automatic,2700 mm,P235/65R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,16.5:1,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Mahindra,Xuv500,W11 (O),"Rs. 17,41,319",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Manual,2700 mm,P235/60 R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",6,16.5:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Mahindra,Xuv500,W11 (O) At,"Rs. 18,62,586",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Automatic,2700 mm,P235/60 R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,16.5:1,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Mahindra,Xuv500,W11 (O) Awd,"Rs. 18,52,488",2179 cc,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Manual,2700 mm,P235/60 R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",6,16.5:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Mahindra,Xuv500,W11 (O) Awd At,"Rs. 19,73,664",2179 cc,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,330Nm@1750-2800rpm,Analog,Automatic,2700 mm,P235/60 R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,16.5:1,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Mahindra,Xuv500,W3,"Rs. 12,30,924",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70 litres,Diesel,1785 mm,4585 mm,1890 mm,SUV,5,16 km/litre,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,155PS@3750rpm,360Nm@1750-2800rpm,Analog,Manual,2700 mm,P235/65 R17,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",2,16.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Mahindra,E Verito,D4,"Rs. 12,93,214",72 cc,,,FWD (Front Wheel Drive),,,,,,Electric,1540 mm,4247 mm,1740 mm,Sedan,4,110 km/litre,,,,,,,Ventilated Disc,Drum,Electro-Hydraulic,All Windows,41PS@3500RPM,91Nm@3000rpm,Yes,Automatic,2630 mm,185/70R14,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,,1700 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Mahindra,E Verito,D2,"Rs. 12,67,208",72 cc,,,FWD (Front Wheel Drive),,,,,,Electric,1540 mm,4247 mm,1740 mm,Sedan,4,110 km/litre,,,,,,,Ventilated Disc,Drum,Electro-Hydraulic,All Windows,41PS@3500RPM,91Nm@3000rpm,Analog,Automatic,2630 mm,185/70R14,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,,1700 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Mahindra,E Verito,D6,"Rs. 13,03,241",72 cc,,,FWD (Front Wheel Drive),,,,,,Electric,1540 mm,4247 mm,1740 mm,Sedan,4,110 km/litre,,,,,,,Ventilated Disc,Drum,Electro-Hydraulic,All Windows,41PS@3500RPM,91Nm@3000rpm,Analog,Automatic,2630 mm,185/70R14,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,,1700 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Tata,Hexa,Xm Plus 4X2,"Rs. 16,39,374",2179 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,Diesel,1791 mm,4788 mm,1903 mm,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,,2280 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,400Nm@1700-2700rpm,Analog,Manual,2850 mm,235/70 R16,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,17.2:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Tata,Hexa,Xt 4X4,"Rs. 19,29,417",2179 cc,,,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,Diesel,1791 mm,4788 mm,1903 mm,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,,2280 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,320Nm@1700-2700rpm,Analog,Manual,2850 mm,235/55 R19,,Fully automatic climate control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,17.2:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Tata,Hexa,Xta 4X2,"Rs. 19,12,593",2179 cc,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,Diesel,1791 mm,4788 mm,1903 mm,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,,2280 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,400Nm@1700-2700rpm,Analog,Automatic,2850 mm,235/55 R19,,Fully automatic climate control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,17.2:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Tata,Hexa,Xt 4X2,"Rs. 17,96,458",2179 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,,Diesel,1791 mm,4788 mm,1903 mm,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,,2280 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,400Nm@1700-2700rpm,Analog,Manual,2850 mm,235/55 R19,,Fully automatic climate control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,17.2:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Tata,Hexa,Xe 4X2,"Rs. 13,71,864",2179 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,Diesel,1791 mm,4788 mm,1903 mm,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,,2280 kg,5,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,150PS@4000rpm,320Nm@1700-2700rpm,Analog,Manual,2850 mm,235/70 R16,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,17.2:1,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Tata,Hexa,Xm 4X2,"Rs. 15,31,377",2179 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60 litres,Diesel,1791 mm,4788 mm,1903 mm,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,,2280 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,400Nm@1700-2700rpm,Analog,Manual,2850 mm,235/70 R16,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,17.2:1,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Tata,Hexa,Xma 4X2,"Rs. 16,55,587",2179 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,,Diesel,1791 mm,4788 mm,1903 mm,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,,2280 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,400Nm@1700-2700rpm,Analog,Automatic,2850 mm,235/70 R16,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,17.2:1,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Toyota,Innova Crysta,2.4 Gx 7 Str,"Rs. 16,05,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15.4 km/litre,,1805 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,2430 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Toyota,Innova Crysta,2.4 Vx 7 Str,"Rs. 19,27,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15 km/litre,,1815 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2430 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Toyota,Innova Crysta,2.4 Gx 8 Str,"Rs. 16,10,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15.4 km/litre,,1825 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,2480 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Toyota,Innova Crysta,2.4 Vx 8 Str,"Rs. 19,32,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15.4 km/litre,,1820 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,215/55R17,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2460 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Toyota,Innova Crysta,2.4 Zx 7 Str,"Rs. 21,13,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15.1 km/litre,,1870 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,215/55R17,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2450 kg,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",7,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Toyota,Innova Crysta,2.7 Gx At 8 Str,"Rs. 16,20,000",2694 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,10.83 km/litre,,1825 kg,6,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,166PS@5200rpm,245Nm@4000rpm,Analog,Automatic,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Air Conditioning with cooling only,,,Yes,2480 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Driver knee airbag",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Toyota,Innova Crysta,2.7 Gx At 7 Str,"Rs. 16,15,000",2694 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,10.83 km/litre,,1825 kg,6,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,166PS@3400rpm,245Nm@1200-3400RPM,Analog,Automatic,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2480 kg,"Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Toyota,Innova Crysta,2.7 Zx At 7 Str,"Rs. 21,03,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,10.75 km/litre,,1870 kg,6,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,Analog,Automatic,2750 mm,215/55R17,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2450 kg,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",7,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Toyota,Innova Crysta,2.7 Vx 7 Str,"Rs. 18,07,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,11.25 km/litre,,1815 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2430 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Toyota,Innova Crysta,2.7 Gx Mt 7 Str,"Rs. 14,93,000",2755 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,11.25 km/litre,,1825 kg,6,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,174PS@3400rpm,360Nm@1200-3400rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,2480 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Toyota,Innova Crysta,2.7 Gx Mt 8 Str,"Rs. 14,98,000",2755 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,11.25 km/litre,,1825 kg,6,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,174PS@3400rpm,360Nm@1200-3400rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Air Conditioning with cooling only,,,Yes,2480 kg,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Toyota,Innova Crysta,Touring Sport 2.4 Vx 7 Str,"Rs. 20,97,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15 km/litre,,1828 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2430 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
